wp_url,cc_url,type,notes
/how-instagram-detects-mood/,/blog/how-instagram-detects-mood.html,301,
/brand-mistakes/,/blog/brand-mistakes.html,301,
/cifruli-memkvidreoba/,/blog/cifruli-memkvidreoba.html,301,
/2025-dzebnebi/,/blog/2025-dzebnebi.html,301,
# === Case studies: /case-studies/SLUG/ → /case-studies/SLUG.html ===
/case-studies/3x-in-28-days/,/case-studies/3x-in-28-days.html,301,
/case-studies/270-percent-increase/,/case-studies/270-percent-increase.html,301,
/case-studies/local-seo-result/,/case-studies/local-seo-result.html,301,
/case-studies/stomatologiuri-klinikis-seo/,/case-studies/stomatologiuri-klinikis-seo.html,301,
/case-studies/4200-yoveltviuri-vizitori-4-tveshi/,/case-studies/4200-yoveltviuri-vizitori-4-tveshi.html,301,
/case-studies/seo-krizisidan-top-3mde/,/case-studies/seo-crisis-management.html,301,SLUG CHANGED on CC
/case-studies/250-percent-increase/,/case-studies/250-percent-increase.html,301,
/case-studies/trafikis-gaormageba-3-tveshi/,/case-studies/trafikis-gaormageba-3-tveshi.html,301,
# === Website-info pages — NO equivalents ===
/website-info/,/portfolio.html,301,REVIEW: 13 sub-pages too; could 410 if no traffic
/website-info/myauto-ge/,/portfolio.html,301,REVIEW
/website-info/extra-ge/,/portfolio.html,301,REVIEW
/website-info/zoommer-ge/,/portfolio.html,301,REVIEW
/website-info/myvideo-ge/,/portfolio.html,301,REVIEW
/website-info/myhome-ge/,/portfolio.html,301,REVIEW
/website-info/crystalbet-com/,/portfolio.html,301,REVIEW
/website-info/amindi-ge/,/portfolio.html,301,REVIEW
/website-info/ss-ge/,/portfolio.html,301,REVIEW
/website-info/jobs-ge/,/portfolio.html,301,REVIEW
/website-info/adjarabet-com/,/portfolio.html,301,REVIEW
/website-info/aversi-ge/,/portfolio.html,301,REVIEW
/website-info/alta-ge/,/portfolio.html,301,REVIEW
/website-info/tkt-ge/,/portfolio.html,301,REVIEW
# === Categories (WP-specific, no equivalent) ===
/category/aeo/,/blog.html,301,
/category/seo/,/blog.html,301,
/category/edu/,/blog.html,301,
/category/stat/,/blog.html,301,
/category/bizn/,/blog.html,301,Georgian-encoded category — bizneSisthvis
/category/news/,/blog.html,301,Georgian-encoded category — siakhleeebi
# === English /en/ versions — ALL same pattern ===
# Apply the rule: /en/SLUG/ → /en/SLUG.html
# Special English cases:
/en/best-seo-agency-in-georgia/,/en/about-us.html,301,FIXED: EN blog version doesn't exist; semantic match → about-us (7 clicks/487 imp)
/en/what-is-aeo/,/en/blog/what-is-aeo.html,301,REVIEW: slug differs from GE (/ra-aris-aeo)
/en/doubled-traffic-in-3-months/,/en/case-studies/doubled-traffic-in-3-months.html,301,REVIEW: GE & EN slugs differ
